"","Q","Human","LLM","check","prop_human","Text","Category","Domain","Mind"
"62","T162",116,2,118,0.983050847457627,"What was the price for VTI and S&P 500 last week?","factual","",""
"3","T100",115,3,118,0.974576271186441,"What is the conversion rate between the Euro and the Yen?","factual","",""
"90","T27",114,4,118,0.966101694915254,"How vast is the known universe?","factual","",""
"19","T116",111,7,118,0.940677966101695,"What is the weather going to be in New York tomorrow?","factual","",""
"30","T130",111,7,118,0.940677966101695,"What is pi to 30 decimal places?","factual","",""
"68","T17",111,7,118,0.940677966101695,"What is the largest prime number?","factual","",""
"76","T177",110,8,118,0.932203389830508,"What is the population of Cuba?","factual","",""
"148","T89",110,8,118,0.932203389830508,"What is the weather like today in Newport beach?","factual","",""
"9","T106",109,9,118,0.923728813559322,"What polygon has 33 sides?","factual","",""
"54","T155",109,9,118,0.923728813559322,"What is the difference between how cotton fabrics feel compared to wool fabrics?","factual","",""
"8","T105",108,10,118,0.915254237288136,"What is 784683678 divided by 3789?","factual","",""
"60","T160",106,12,118,0.898305084745763,"How many different species of insects are there?","factual","",""
"82","T183",105,13,118,0.889830508474576,"How was your day today?","personal, subjective","psychological","experience"
"53","T153",104,14,118,0.88135593220339,"What is the full number of pi?","factual","",""
"93","T3",104,14,118,0.88135593220339,"What was school like for you?","personal, subjective","social","agency"
"23","T122",103,15,118,0.872881355932203,"Do you want to talk about anything?","personal, subjective","psychological","agency"
"77","T178",103,15,118,0.872881355932203,"What is Finding Nemo's boat name?","factual","",""
"95","T31",103,15,118,0.872881355932203,"What is your opinion on stoicism?","personal, subjective","psychological","agency"
"103","T4",102,16,118,0.864406779661017,"How are you feeling today?","personal, subjective","psychological","experience"
"141","T81",102,16,118,0.864406779661017,"Are you excited?","personal, subjective","psychological","experience"
"102","T39",101,17,118,0.855932203389831,"What is the population of Indonesia?","factual","",""
"4","T101",99,19,118,0.838983050847458,"How far I am from Mexico?","factual","",""
"157","T99",98,20,118,0.830508474576271,"What movie made the most money in 1978 and who was the main star?","factual","",""
"11","T108",97,21,118,0.822033898305085,"Is it cold in here to you?","personal, subjective","biological","experience"
"88","T25",97,21,118,0.822033898305085,"What is the word that means there is a really big disease everywhere?","factual","",""
"5","T102",96,22,118,0.813559322033898,"Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"66","T167",96,22,118,0.813559322033898,"What element is the 40th element on the periodic table?","factual","",""
"13","T110",94,24,118,0.796610169491525,"Are you a male or a female?","personal, objective","biological",""
"35","T136",94,24,118,0.796610169491525,"Are you cisgendered or transgendered?","personal, objective","biological",""
"91","T28",94,24,118,0.796610169491525,"Where is heaven?","personal, subjective","psychological","agency"
"132","T72",94,24,118,0.796610169491525,"Does your body have a heart?","personal, objective","biological",""
"139","T79",93,25,118,0.788135593220339,"What is the square root of 12?","factual","",""
"28","T129",91,27,118,0.771186440677966,"What is your IQ?","personal, objective","psychological",""
"22","T121",90,28,118,0.76271186440678,"What year was Malcolm X shot?","factual","",""
"50","T150",89,29,118,0.754237288135593,"What is dirt made of?","factual","",""
"70","T171",89,29,118,0.754237288135593,"When will the sun rise?","factual","",""
"94","T30",89,29,118,0.754237288135593,"Will you explain the reason you like your favorite painting?","personal, subjective","psychological","both"
"37","T138",88,30,118,0.745762711864407,"The man went to the store. When he checked out, the cashier told him that he needs to scan the items again because his boss forgot to input the code because he's always high on drugs. Who forgot to input the code?","factual","",""
"56","T157",88,30,118,0.745762711864407,"What would you do to a bully?","personal, subjective","social","agency"
"124","T6",88,30,118,0.745762711864407,"Can you please tell me what I should do in a breakup with my girlfriend?","personal, subjective","social","agency"
"133","T73",88,30,118,0.745762711864407,"Are you expensive? ","personal, subjective","biological","agency"
"10","T107",87,31,118,0.73728813559322,"Which do you like better: pizza or sardines?","personal, subjective","biological","experience"
"14","T111",87,31,118,0.73728813559322,"If you pricked your finger, would you bleed?","personal, objective","biological",""
"116","T52",87,31,118,0.73728813559322,"What is the most important thing when working with other people?","personal, subjective","social","agency"
"109","T45",86,32,118,0.728813559322034,"Which state is the president of Sweden from?","factual","",""
"114","T50",86,32,118,0.728813559322034,"If you get hurt, do you cry?","personal, subjective","biological","experience"
"63","T163",84,34,118,0.711864406779661,"What happens after you die?","personal, subjective","psychological","agency"
"74","T175",84,34,118,0.711864406779661,"Do you like to paint?","personal, subjective","psychological","experience"
"137","T77",84,34,118,0.711864406779661,"The man went to the doctor's office. He told him he needed to take medicine. Who needs medicine?","factual","",""
"112","T49",83,35,118,0.703389830508475,"What day of the week was the original Bastille Day?","factual","",""
"135","T75",83,35,118,0.703389830508475,"What do you feel when you see a sunrise?","personal, subjective","psychological","experience"
"1","T1",82,36,118,0.694915254237288,"From whom do you receive most of your knowledge?","personal, objective","social",""
"17","T114",81,37,118,0.686440677966102,"What is the best form of art?","personal, subjective","psychological","agency"
"119","T55",81,37,118,0.686440677966102,"What is pi plus 1?","factual","",""
"145","T86",81,37,118,0.686440677966102,"What does a sunset look like?","factual","",""
"149","T90",81,37,118,0.686440677966102,"Do you have children?","personal, objective","biological",""
"99","T35",80,38,118,0.677966101694915,"Do you know the difference between right and wrong?","personal, subjective","social","agency"
"89","T26",79,39,118,0.669491525423729,"What did you eat last night?","personal, objective","biological",""
"34","T135",77,41,118,0.652542372881356,"Do you believe in a higher power?","personal, subjective","psychological","agency"
