"","Q","X","t","p","index","sig","Text","Category","Domain","Mind"
"62","T162",62,44.3087757180652,0,1,"p<.001***","What was the price for VTI and S&P 500 last week?","factual","",""
"3","T100",3,38.9135356449945,0,2,"p<.001***","What is the conversion rate between the Euro and the Yen?","factual","",""
"90","T27",90,33.6759036903496,0,3,"p<.001***","How vast is the known universe?","factual","",""
"148","T89",148,29.0558854106765,0,4,"p<.001***","What is the weather like today in Newport beach?","factual","",""
"54","T155",54,18.8525676469996,0,5,"p<.001***","What is the difference between how cotton fabrics feel compared to wool fabrics?","factual","",""
"19","T116",19,18.7892782703902,0,6,"p<.001***","What is the weather going to be in New York tomorrow?","factual","",""
"30","T130",30,17.0536944983255,0,7,"p<.001***","What is pi to 30 decimal places?","factual","",""
"95","T31",95,16.5502421432919,0,8,"p<.001***","What is your opinion on stoicism?","personal, subjective","psychological","agency"
"68","T17",68,16.2204739013663,0,9,"p<.001***","What is the largest prime number?","factual","",""
"9","T106",9,15.0225546711257,0,10,"p<.001***","What polygon has 33 sides?","factual","",""
"53","T153",53,11.7542442318142,0,11,"p<.001***","What is the full number of pi?","factual","",""
"82","T183",82,11.2703948591562,0,12,"p<.001***","How was your day today?","personal, subjective","psychological","experience"
"8","T105",8,10.8526840244722,0,13,"p<.001***","What is 784683678 divided by 3789?","factual","",""
"76","T177",76,10.434921443535,0,14,"p<.001***","What is the population of Cuba?","factual","",""
"103","T4",103,10.0224960004344,0,15,"p<.001***","How are you feeling today?","personal, subjective","psychological","experience"
"141","T81",141,9.62784868342544,0,16,"p<.001***","Are you excited?","personal, subjective","psychological","experience"
"11","T108",11,9.58733090837004,0,17,"p<.001***","Is it cold in here to you?","personal, subjective","biological","experience"
"93","T3",93,9.52596615274004,0,18,"p<.001***","What was school like for you?","personal, subjective","social","agency"
"60","T160",60,9.36083165190691,0,19,"p<.001***","How many different species of insects are there?","factual","",""
"77","T178",77,8.99497126573202,0,20,"p<.001***","What is Finding Nemo's boat name?","factual","",""
"91","T28",91,8.19377921130804,0,21,"p<.001***","Where is heaven?","personal, subjective","psychological","agency"
"157","T99",157,7.87237773577431,0,22,"p<.001***","What movie made the most money in 1978 and who was the main star?","factual","",""
"28","T129",28,7.60239136880705,1e-04,23,"p<.001***","What is your IQ?","personal, objective","psychological",""
"132","T72",132,6.93626975767515,1e-04,24,"p<.001***","Does your body have a heart?","personal, objective","biological",""
"102","T39",102,6.92646749617938,1e-04,25,"p<.001***","What is the population of Indonesia?","factual","",""
"14","T111",14,6.90593553417852,1e-04,26,"p<.001***","If you pricked your finger, would you bleed?","personal, objective","biological",""
"23","T122",23,6.8049781763346,1e-04,27,"p<.001***","Do you want to talk about anything?","personal, subjective","psychological","agency"
"13","T110",13,6.56907887834356,2e-04,28,"p<.001***","Are you a male or a female?","personal, objective","biological",""
"4","T101",4,6.34265820714007,2e-04,29,"p<.001***","How far I am from Mexico?","factual","",""
"151","T92",151,6.22967531518918,3e-04,30,"p<.001***","What do you feel about love?","personal, subjective","psychological","experience"
"56","T157",56,6.08926099049205,3e-04,31,"p<.001***","What would you do to a bully?","personal, subjective","social","agency"
"88","T25",88,6.05901033289592,3e-04,32,"p<.001***","What is the word that means there is a really big disease everywhere?","factual","",""
"116","T52",116,5.59812670974119,5e-04,33,"p<.001***","What is the most important thing when working with other people?","personal, subjective","social","agency"
"94","T30",94,5.59332198893612,5e-04,34,"p<.001***","Will you explain the reason you like your favorite painting?","personal, subjective","psychological","both"
"35","T136",35,5.50207436944998,6e-04,35,"p<.001***","Are you cisgendered or transgendered?","personal, objective","biological",""
"124","T6",124,5.4209629505852,6e-04,36,"p<.001***","Can you please tell me what I should do in a breakup with my girlfriend?","personal, subjective","social","agency"
"5","T102",5,5.33427290320749,7e-04,37,"p<.001***","Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"74","T175",74,5.20312869811792,8e-04,38,"p<.001***","Do you like to paint?","personal, subjective","psychological","experience"
"139","T79",139,4.21743592649578,0.0029,39,"p<.01**","What is the square root of 12?","factual","",""
